id_parque,position
P024,"{""coordinates"":[-9.203909,38.69723],""type"":""Point""}"
P041,"{""coordinates"":[-9.151017,38.706138],""type"":""Point""}"
P020,"{""coordinates"":[-9.157032,38.724475],""type"":""Point""}"
P003,"{""coordinates"":[-9.14573228492395,38.7335172346174],""type"":""Point""}"
P015,"{""coordinates"":[-9.155042,38.750596],""type"":""Point""}"
P001,"{""coordinates"":[-9.15104299999,38.7247865],""type"":""Point""}"
P058,"{""coordinates"":[-9.170647,38.719168],""type"":""Point""}"
P007,"{""coordinates"":[-9.14040499999999,38.735297],""type"":""Point""}"
P032,"{""coordinates"":[-9.170943,38.749827],""type"":""Point""}"
P005,"{""coordinates"":[-9.14548192620168,38.7323043382636],""type"":""Point""}"
P018,"{""coordinates"":[-9.1418056,38.7492735],""type"":""Point""}"
P043,"{""coordinates"":[-9.158056,38.779591],""type"":""Point""}"
P046,"{""coordinates"":[-9.176896,38.756548],""type"":""Point""}"
P057,"{""coordinates"":[-9.130995,38.744327],""type"":""Point""}"
P014,"{""coordinates"":[-9.153596,38.731063],""type"":""Point""}"
P061,"{""coordinates"":[-9.166372,38.725041],""type"":""Point""}"
P002,"{""coordinates"":[-9.1483930362,38.7313746],""type"":""Point""}"
P030,"{""coordinates"":[-9.162904,38.745735],""type"":""Point""}"
P034,"{""coordinates"":[-9.188309,38.75214],""type"":""Point""}"
P025,"{""coordinates"":[-9.155495,38.757586],""type"":""Point""}"
P019,"{""coordinates"":[-9.15528429,38.7352591],""type"":""Point""}"
P062,"{""coordinates"":[-9.128867,38.716819],""type"":""Point""}"
P009,"{""coordinates"":[-9.14493799209595,38.7423520945922],""type"":""Point""}"
P006,"{""coordinates"":[-9.14209400000004,38.737444],""type"":""Point""}"
P008,"{""coordinates"":[-9.15176054084168,38.7366155609067],""type"":""Point""}"
P012,"{""coordinates"":[-9.1520223,38.7394789],""type"":""Point""}"
P028,"{""coordinates"":[-9.135017,38.712416],""type"":""Point""}"
P064,"{""coordinates"":[-9.128867,38.716819],""type"":""Point""}"
P042,"{""coordinates"":[-9.175066,38.706007],""type"":""Point""}"
P035,"{""coordinates"":[-9.145547,38.719062],""type"":""Point""}"
P031,"{""coordinates"":[-9.147541,38.711188],""type"":""Point""}"
P017,"{""coordinates"":[-9.13714389999996,38.7408069],""type"":""Point""}"
P023,"{""coordinates"":[-9.132344,38.744081],""type"":""Point""}"
P029,"{""coordinates"":[-9.188327,38.752172],""type"":""Point""}"
P040,"{""coordinates"":[-9.139498,38.755424],""type"":""Point""}"
P048,"{""coordinates"":[-9.131141,38.70888],""type"":""Point""}"
P037,"{""coordinates"":[-9.159954,38.744582],""type"":""Point""}"
P004,"{""coordinates"":[-9.1446021616448,38.7332687356758],""type"":""Point""}"
P049,"{""coordinates"":[-9.15221,38.707681],""type"":""Point""}"
P033,"{""coordinates"":[-9.159321,38.773079],""type"":""Point""}"
P016,"{""coordinates"":[-9.158464,38.750671],""type"":""Point""}"
P047,"{""coordinates"":[-9.130581,38.718095],""type"":""Point""}"
P063,"{""coordinates"":[-9.128867,38.716819],""type"":""Point""}"
P027,"{""coordinates"":[-9.128965,38.742375],""type"":""Point""}"
P044,"{""coordinates"":[-9.164886,38.761512],""type"":""Point""}"
