dia,temp_min,temp_max
2022-01-01,12.8,20.6
2022-01-02,14.1,16.3
2022-01-03,12.4,14.6
2022-01-04,11.6,16.5
2022-01-05,10.9,16.1
2022-01-06,9.7,15.0
2022-01-07,10.7,16.1
2022-01-08,8.1,14.9
2022-01-09,8.9,15.7
2022-01-10,11.0,15.7
2022-01-11,9.8,13.1
2022-01-13,10.9,14.8
2022-01-14,8.0,15.2
2022-01-15,8.8,14.9
2022-01-16,8.9,15.6
2022-01-17,9.4,15.9
2022-01-18,7.5,15.3
2022-01-19,7.1,14.0
2022-01-20,7.2,11.3
2022-01-21,10.7,14.5
2022-01-22,7.3,14.3
2022-01-23,7.9,11.8
2022-01-24,8.4,11.3
2022-01-25,9.1,11.9
2022-01-26,9.6,11.6
2022-01-27,11.6,11.8
2022-01-28,11.1,11.6
2022-01-29,10.0,11.4
2022-01-31,8.9,10.8
2022-02-01,8.6,9.2
2022-02-07,14.1,20.0
2022-02-08,12.5,14.4
2022-04-26,15.6,18.7
2022-04-27,13.0,20.6
2022-04-28,12.9,23.3
2022-04-29,16.8,25.9
2022-04-30,15.7,27.3
2022-05-01,14.5,20.7
2022-05-02,14.3,20.2
2022-05-03,14.1,22.9
2022-05-04,17.2,25.8
2022-05-05,18.9,27.2
2022-05-06,14.7,26.9
2022-05-07,14.5,27.4
2022-05-08,16.8,29.4
2022-05-09,17.8,42.5
2022-05-10,16.1,26.0
2022-05-11,17.2,29.6
2022-05-12,19.0,28.8
2022-05-13,18.5,28.6
2022-05-14,18.7,25.1
2022-05-15,17.0,21.5
2022-05-16,17.7,21.5
2022-05-17,17.3,23.5
2022-05-18,17.8,18.8
2022-05-19,20.7,28.3
2022-05-20,18.2,31.4
2022-05-21,18.0,26.8
2022-05-22,16.8,21.0
2022-05-23,15.8,22.8
2022-05-24,14.8,20.5
2022-05-25,15.2,25.6
2022-05-26,17.8,32.1
2022-05-27,18.7,34.3
2022-05-28,18.2,23.5
2022-05-29,17.7,21.6
2022-05-30,17.6,22.2
2022-05-31,18.8,23.2
2022-06-01,17.7,23.0
2022-06-02,18.0,22.1
2022-06-03,17.5,21.7
2022-06-04,17.2,22.5
2022-06-05,16.5,26.0
2022-06-06,15.7,27.3
2022-06-07,18.8,27.1
2022-06-08,19.2,26.9
2022-06-09,19.7,29.3
2022-06-10,19.9,31.6
2022-06-11,21.0,31.5
2022-06-12,20.4,34.1
2022-06-13,19.0,27.6
2022-06-14,17.7,24.4
2022-06-15,18.3,27.3
2022-06-16,17.2,24.3
2022-06-17,17.9,25.2
2022-06-18,17.3,22.9
2022-06-19,18.0,23.8
2022-06-20,15.7,22.5
2022-06-21,15.6,21.8
2022-06-22,17.0,21.9
2022-06-23,17.8,23.8
2022-06-24,16.8,21.8
2022-06-25,17.7,24.1
2022-06-26,15.5,22.8
2022-06-27,16.0,23.3
2022-06-28,16.0,25.6
2022-06-29,17.7,23.5
2022-06-30,16.0,24.0
