target,k,p_min,static_revenue,dynamic_revenue,dynamic_price,dynamic_occ,lost_pct
0.75,0.2,1.3,108933.7823605089,151345.94536028095,1.8703833994082473,0.5941262212797008,2.893335653864715
0.75,0.2,1.5,110275.44339590284,148268.68234979408,1.849308117423868,0.5853025567879484,2.5124040521656066
0.75,0.2,1.7,110245.87530539882,149187.2279190414,1.8603028114173412,0.5865153326259376,2.804072836102489
0.75,0.4,1.3,110919.49813826842,145125.18593499242,1.8313146967880127,0.5794785127266667,1.939916402113151
0.75,0.4,1.5,110133.66723385383,150695.17036995155,1.8682918151360666,0.5895091668612531,2.9409549392251932
0.75,0.4,1.7,110457.69420807116,147061.98093614745,1.8409115829877014,0.5836135380413945,2.2183592103017125
0.75,0.6,1.3,110513.89982298842,144548.61398484115,1.8303029074578496,0.5764329227984563,1.5425923602286673
0.75,0.6,1.5,111145.0091865084,145305.11683308467,1.8282830052254826,0.5822762927524634,1.9144368061176587
0.75,0.6,1.7,109175.4932434089,148025.18136203976,1.8496481314276303,0.5863084038084856,2.2828790287239498
0.85,0.2,1.3,108645.14418047057,148042.89410478028,1.8590352809649933,0.5809671064546892,2.649047964425988
0.85,0.2,1.5,110768.09096377878,143971.67010469898,1.8242916639127897,0.5756996942086906,2.0465151729623043
0.85,0.2,1.7,110066.12641595365,145190.68770203265,1.830001144166329,0.5805657625359029,2.0569395668121104
0.85,0.4,1.3,110676.5320921781,147519.77280139213,1.8434512387331363,0.5854725702548157,2.2809513329095976
0.85,0.4,1.5,108734.57805177712,144633.89698101,1.8302243156567273,0.577757774635119,2.318809469647032
0.85,0.4,1.7,110167.4836117479,146597.3014097552,1.8358122641883143,0.5836772060124602,2.45746007643467
0.85,0.6,1.3,110647.49374714785,145392.43902254043,1.834094671393085,0.5795891742151559,2.0692180028368923
0.85,0.6,1.5,110432.55487724095,147578.08216679486,1.8538126646615556,0.5789776720985255,2.5525766061036848
0.85,0.6,1.7,109699.2080644771,146889.794371757,1.8466734571532992,0.5806553118528757,2.608993330125642
0.95,0.2,1.3,109358.37016730719,145770.9150738439,1.8407256116421447,0.577564514478957,2.5714341075214198
0.95,0.2,1.5,111181.53013769869,148993.72248345503,1.8575044187865737,0.5880050528534422,2.7280218137901824
0.95,0.2,1.7,109933.16982601892,146117.70658400582,1.8425267998494599,0.5782630198807286,2.1989489800674167
0.95,0.4,1.3,109979.39894657362,145481.4321726026,1.8384865518781812,0.5771693553883053,2.295636014884017
0.95,0.4,1.5,108096.6824032146,149474.03184373578,1.8488142029904224,0.5946192858518848,2.1527625025967168
0.95,0.4,1.7,110179.43777215596,146544.9043079692,1.841142423589517,0.5809679132361064,2.149922474682453
0.95,0.6,1.3,110817.69007175782,147263.1627797741,1.8459528423813094,0.584564083235417,2.4481027286180512
0.95,0.6,1.5,109861.2436507537,146298.77820794814,1.8365657486431555,0.5828865486532977,2.1067940321223055
0.95,0.6,1.7,109530.85111062723,147974.79511016712,1.85307275921136,0.5827229821588589,2.7580922027103827
